# CCONJ words ending in -que (excluding bare 'que')
# Format: word	count


dieque	37
Sicque	28
manusque	27
tuque	22
Deque	22
suosque	20
hosque	20
manuque	19
nilque	17
fidemque	17
rexque	16
parensque	16
Proque	15
populique	15
habetque	14
moxque	14
aitque	14
huncque	14
Postque	14
populusque	13
laborque	13
agitque	13
plusque	12
Rexque	12
diuque	12
suntque	11
totque	11
amorque	11
fitque	10
Huncque	10
septemque	10
regemque	10
opusque	10
principibusque	10
consilioque	9
dolorque	9
ecclesieque	9
hocque	9
pedibusque	9
nosque	9
cunctaque	9
Ierusalemque	9
duxque	9
comesque	9
Multaque	8
formaque	8
spesque	8
Estque	8
Tuque	8
sumque	8
datque	8
deciesque	8
fideque	8
genusque	8
ecclesiamque	8
factaque	7
Nilque	7
populumque	7
totaque	7
nullaque	7
caputque	7
quaterque	7
dominusque	7
Hocque	7
totidemque	7
Plebsque	7
Moxque	7
matremque	7
vultuque	7
honorque	7
patrisque	7
tresque	7
nimiumque	7
decemque	7
fratresque	6
dixitque	6
nostraque	6
parque	6
gladiumque	6
alloquiturque	6
sitque	6
luxurieque	6
iudiciumque	6
dimidiumque	6
castraque	6
postque	6
fidesque	6
modoque	6
proque	6
faciemque	6
sensuque	6
iustitieque	6
insidiasque	6
proceresque	6
propositumque	5
finemque	5
huicque	5
resque	5
praesidiumque	5
suscipiuntque	5
hisque	5
meliusque	5
mortemque	5
inopsque	5
amansque	5
causamque	5
lexque	5
imperiique	5
partemque	5
solique	5
restituitque	5
iusque	5
Deoque	5
spemque	5
iustitiamque	5
iubetque	5
reditque	5
Hancque	5
reque	5
hancque	5
clamque	5
veniamque	5
vitamque	5
similisque	5
eloquiique	5
militieque	5
numeroque	5
matrisque	5
patremque	5
speciemque	4
votaque	4
rebusque	4
ossaque	4
pacemque	4
veniensque	4
animamque	4
militiamque	4
militiaeque	4
virque	4
faciesque	4
materiamque	4
estque	4
pudorque	4
solque	4
deficiuntque	4
Officiumque	4
iuuenesque	4
signaque	4
vosque	4
baculumque	4
gratesque	4
refertque	4
hincque	4
mentemque	4
natique	4
curaque	4
mundoque	4
solusque	4
itque	4
citiusque	4
ingrediturque	4
retroque	4
animoque	4
corpusque	4
officiumque	4
hospitiumque	4
precibusque	4
nullique	4
furorque	4
terramque	4
officioque	4
caditque	4
luxque	4
dimidioque	4
persequiturque	4
sociosque	4
nequitieque	4
Antoniique	4
instabilisque	4
exteriusque	4
secumque	4
probitasque	4
armaque	4
tituloque	3
Polluxque	3
interitumque	3
dedecorisque	3
populosque	3
mandataque	3
cogitque	3
militiaque	3
Myrmidonesque	3
noxque	3
facitque	3
Armaque	3
vixque	3
Vixque	3
eratque	3
fuitque	3
minisque	3
insidiisque	3
sique	3
domusque	3
sequiturque	3
Adiecitque	3
diemque	3
parsque	3
curque	3
pedesque	3
diesque	3
suamque	3
propositoque	3
vicinaque	3
transitque	3
parentque	3
extraque	3
Scitoque	3
tumque	3
Subque	3
fragilesque	3
secretaque	3
Mensque	3
grexque	3
utiliusque	3
progeniemque	3
Contemptorque	3
gentesque	3
vultumque	3
Bellaque	3
Iureque	3
rabiesque	3
cunctosque	3
vasque	3
fortisque	3
equitesque	3
Totque	3
prohibetque	3
Samariamque	3
Ingrediensque	3
sitiensque	3
Danielque	3
pauperibusque	3
discipulusque	3
ratioque	3
Neque	3
uitamque	3
Linguaque	3
locoque	3
iustitiaeque	3
praecipitesque	3
interiorque	3
vultusque	3
sociique	3
discipulosque	3
opibusque	3
facieque	3
lutoque	3
nulloque	3
studioque	3
domoque	3
facque	3
terraeque	3
strepituque	3
morsque	3
patresque	3
aperque	3
Dominusque	3
Doctoresque	3
iuraque	3
ueruexque	3
assiduusque	3
esuriuntque	3
Deique	3
instabilesque	3
nullusque	3
subsidiumque	3
ducibusque	3
Dixeruntque	3
Dariumque	3
hominemque	3
lucrumque	3
pluresque	3
egregiosque	3
Dominoque	3
peditumque	3
tibique	3
meritoque	3
imperiumque	3
nobilitasque	3
suique	3
lausque	3
facinusque	3
temploque	3
venitque	3
occiditque	3
captamque	2
deinque	2
Efficiamque	2
peioraque	2
interituque	2
retinentque	2
verbaque	2
mollique	2
oculisque	2
fataque	2
decimoque	2
Mansissetque	2
Sintque	2
ipsaque	2
Speque	2
Telaque	2
naturaque	2
Claraque	2
reginaque	2
hicque	2
subsequiturque	2
speciesque	2
clamorque	2
nescitque	2
gladioque	2
militibusque	2
paxque	2
ingeniumque	2
ingeniique	2
perpetuamque	2
meroque	2
decorque	2
Periuriique	2
praeque	2
fugiuntque	2
senexque	2
osque	2
Isque	2
Paulatimque	2
mensque	2
monstraque	2
docuitque	2
posuitque	2
famulisque	2
famulique	2
adestque	2
tantique	2
criminibusque	2
medioque	2
dubioque	2
Uxorisque	2
moleque	2
graviterque	2
Sique	2
Hortanturque	2
miserque	2
Grimbertumque	2
supraque	2
dictaque	2
respiciuntque	2
sacerque	2
dolentque	2
duoque	2
Christique	2
humanaque	2
virtusque	2
Magnaque	2
Letaque	2
misereque	2
Perfidieque	2
monituque	2
totusque	2
blandaque	2
Natureque	2
viteque	2
actusque	2
iunctaque	2
propriamque	2
fameque	2
mentisque	2
felixque	2
sanctumque	2
Alternaque	2
arteque	2
rituque	2
Curaque	2
Miphibosethque	2
statque	2
maiorque	2
fructumque	2
varioque	2
Oblitusque	2
similique	2
materiaque	2
linguaque	2
instituitque	2
uitiumque	2
cultusque	2
ecclesiaeque	2
uitaeque	2
Mentiturque	2
illoque	2
uirtusque	2
Hisque	2
tenuisque	2
fructusque	2
Solaque	2
sensusque	2
falsoque	2
ritusque	2
locusque	2
socioque	2
eritque	2
nomenque	2
pastorque	2
genuitque	2
vacuusque	2
geminoque	2
principioque	2
rerumque	2
presidiumque	2
celebremque	2
ouesque	2
faxque	2
presulque	2
officiisque	2
sollicitusque	2
placuitque	2
uultumque	2
seriemque	2
gracilisque	2
membraque	2
tantoque	2
Vimque	2
patiensque	2
graviusque	2
grammaticeque	2
Parisiique	2
loquique	2
cleroque	2
divitibusque	2
immemoresque	2
populoque	2
acceleratque	2
verboque	2
diripientque	2
duasque	2
licitumque	2
rursusque	2
legemque	2
diripiuntque	2
Petrumque	2
praecipueque	2
ferrumque	2
tempestatesque	2
minusque	2
despiciensque	2
verbisque	2
arsque	2
Imposuitque	2
Factaque	2
factique	2
Plenaque	2
causaque	2
fraterque	2
supplicioque	2
terribilesque	2
munditieque	2
Rachelque	2
associantque	2
terreque	2
deficiensque	2
deiciensque	2
sapiensque	2
Altarisque	2
proficiensque	2
doctorque	2
illosque	2
fauisque	2
Ecclesiamque	2
scismaticosque	2
Christumque	2
maculaque	2
nequitiamque	2
Bethelque	2
suoque	2
Sathananque	2
Achitophelque	2
Baalque	2
plebsque	2
terraque	2
Occiditque	2
Occiseque	2
binique	2
baculusque	2
dantque	2
letitieque	2
Tobisque	2
glorificentque	2
Ostenditque	2
discidiumque	2
associetque	2
dentesque	2
numinibusque	2
horaque	2
dimidiusque	2
hebdomadesque	2
Ermidiesque	2
arridetque	2
uentoque	2
Deuotaque	2
Cessauitque	2
concilientque	2
Victaque	2
Achiorque	2
Ceruicique	2
truncumque	2
centumque	2
sidereaque	2
perspicueque	2
Luxque	2
Totaque	2
necnonque	2
mediosque	2
Bethsuramque	2
Simonque	2
Antipaterque	2
Soliusque	2
tactusque	2
proselitusque	2
atroxque	2
excidiumque	2
Donaque	2
impauidusque	2
summaque	2
scripsitque	2
Accenduntque	2
iussitque	2
tenditque	2
horumque	2
peciitque	2
interiusque	2
Menteque	2
religioque	2
rectumque	2
Gregorioque	2
iusticiaeque	2
vestrumque	2
pignoribusque	2
improperatque	2
saeviciaeque	2
Annibalemque	2
longoque	2
iustitiaque	2
praetioque	2
levaque	2
pretiosaque	2
fecitque	2
miliciaeque	2
Mensuraque	2
bellique	2
passimque	2
prosequiturque	2
morteque	2
Hincque	2
Aque	2
multique	2
plenusque	2
pluraque	2
Idque	2
feruntque	2
breuisque	2
natoque	2
Pictavisque	2
dicitque	2
visque	2
urbsque	2
Romuleusque	2
fratrisque	2
obsequioque	2
animusque	2
sororque	2
binisque	2
consulibusque	2
propriaque	2
rhetoricisque	2
Italicusque	2
illucque	2
cibique	2
oculosque	2
deoque	2
subitoque	2
obsequiumque	2
Timporaque	2
uixque	2
terque	2
uiasque	2
Felicemque	2
Omniaque	2
homoque	2
Davidque	2
uxoresque	2
Abiazarque	2
successitque	2
Deiphobusque	1
formosaque	1
rectaque	1
dicuntque	1
trigintaque	1
servitiique	1
nostroque	1
tremebundaque	1
petuntque	1
raptimque	1
Muneribusque	1
Adiiciuntque	1
stridetque	1
cupimusque	1
Argolicusque	1
Velaque	1
sparsique	1
recitatque	1
tumulumque	1
minimeque	1
mediique	1
primusque	1
horrendaque	1
Aeacidemque	1
accipiterque	1
bonitasque	1
paterque	1
mammaque	1
memorandaque	1
Hypolitenque	1
laudandaque	1
Troiaque	1
videasque	1
sociantque	1
fonsque	1
nobiliterque	1
Argolicisque	1
frausque	1
strataque	1
quaeritque	1
vectique	1
Phrygesque	1
gladiisque	1
operaque	1
vestraque	1
redeatque	1
gremioque	1
dedimusque	1
sociisque	1
Anchisiadesque	1
praesidiique	1
vestrosque	1
Horrendaque	1
nocteque	1
retulitque	1
illacque	1
scissaque	1
dicetque	1
doctrinaque	1
Parteque	1
sexque	1
Andromachenque	1
Saevaque	1
resecandaque	1
terrisque	1
subposuitque	1
scitque	1
horrorque	1
limosaque	1
Defectusque	1
itidemque	1
historiasque	1
Auditoque	1
Aduehiturque	1
Insequiturque	1
celeresque	1
altumque	1
insequiturque	1
partique	1
